Date,Open,High,Low,Close,Adj Close,Volume
2022-12-08,2950.000000,2970.000000,2870.000000,2950.000000,2825.965820,4979600
2022-12-09,2940.000000,2960.000000,2910.000000,2940.000000,2816.386230,2154100
2022-12-12,2940.000000,2940.000000,2860.000000,2860.000000,2739.750000,1992700
2022-12-13,2870.000000,2880.000000,2800.000000,2850.000000,2730.170410,3748700
2022-12-14,2900.000000,2900.000000,2830.000000,2840.000000,2720.590820,1481400
2022-12-15,2850.000000,2850.000000,2760.000000,2780.000000,2663.113525,5121000
2022-12-16,2770.000000,2780.000000,2700.000000,2720.000000,2605.636230,9419100
2022-12-19,2720.000000,2770.000000,2690.000000,2690.000000,2576.897705,4742500
2022-12-20,2690.000000,2720.000000,2670.000000,2670.000000,2557.738525,4334200
2022-12-21,2720.000000,2720.000000,2650.000000,2650.000000,2538.579590,7074900
2022-12-22,2660.000000,2820.000000,2650.000000,2800.000000,2682.272705,10444000
2022-12-23,2800.000000,2800.000000,2720.000000,2730.000000,2615.215820,3616000
2022-12-26,2740.000000,2860.000000,2740.000000,2850.000000,2730.170410,7078500
2022-12-27,2830.000000,2860.000000,2770.000000,2810.000000,2691.852295,2647100
2022-12-28,2850.000000,2850.000000,2730.000000,2750.000000,2634.375000,3633300
2022-12-29,2740.000000,2820.000000,2730.000000,2800.000000,2682.272705,4995500
2022-12-30,2800.000000,2830.000000,2760.000000,2790.000000,2672.693115,2316900
2023-01-02,2790.000000,2860.000000,2760.000000,2830.000000,2711.011230,2866100
2023-01-03,2830.000000,2890.000000,2800.000000,2800.000000,2682.272705,6671700
2023-01-04,2840.000000,2860.000000,2790.000000,2790.000000,2672.693115,4905200
2023-01-05,2840.000000,2840.000000,2670.000000,2670.000000,2557.738525,6668000
2023-01-06,2660.000000,2710.000000,2600.000000,2620.000000,2509.840820,10090400
2023-01-09,2630.000000,2660.000000,2570.000000,2580.000000,2471.522705,7596600
2023-01-10,2580.000000,2600.000000,2520.000000,2520.000000,2414.045410,6604400
2023-01-11,2570.000000,2570.000000,2450.000000,2500.000000,2394.886230,8197700
2023-01-12,2500.000000,2580.000000,2500.000000,2520.000000,2414.045410,7014100
2023-01-13,2520.000000,2670.000000,2520.000000,2660.000000,2548.158936,6414000
